email,username,password,userType
supermanager@example.com,SuperManager,adminPass,Management Team
hi!,,,Faculty
hi!,hi!,,Management Team
,,,Management Team
hi!,hi!,adminPass,Management Team
adminPass,hi!,,Management Team
hi!,hi!,adminPass,Management Team
adminPass,Student,,Management Team
hi!,hi!,,Management Team
,,,Management Team
adminPass,SuperManager,adminPass,Management Team
hi!,hi!,,Management Team
Student,hi!,,Management Team
,,,Management Team
,,Management Team,Management Team
adminPass,SuperManager,adminPass,Management Team
hi!,hi!,,Management Team
Student,hi!,,Management Team
,,,Management Team
hi!,hi!,,Management Team
adminPass,SuperManager,adminPass,Management Team
hi!,hi!,adminPass,Management Team
Student,Management Team,Management Team,Management Team
Visitor,hi!,hi!,Management Team
adminPass,SuperManager,adminPass,Management Team
Student,,SuperManager,Management Team
Management Team,Student,adminPass,
,,,Management Team
,,,Management Team
SuperManager,Visitor,,Management Team
Management Team,Visitor,Visitor,Management Team
hi!,hi!,adminPass,Management Team
,,,Management Team
hi!,hi!,,Management Team
Student,hi!,,Management Team
hi!,hi!,,Management Team
Student,hi!,,Management Team
Student,SuperManager,Student,Management Team
adminPass,Management Team,adminPass,Management Team
,,,Management Team
Student,Management Team,Management Team,Management Team
hi!,hi!,,Management Team
,hi!,Student,Management Team
Management Team,Visitor,Visitor,Management Team
hi!,hi!,,Management Team
,hi!,Student,Management Team
Management Team,Visitor,Visitor,Management Team
hi!,hi!,,Management Team
Student,Visitor,hi!,Management Team
,,,Management Team
Student,Management Team,Management Team,Management Team
Student,,SuperManager,Management Team
,,,Management Team
Student,Management Team,adminPass,Management Team
Visitor,hi!,hi!,Management Team
hi!,hi!,,Management Team
,hi!,Student,Management Team
,,,Management Team
,,,Management Team
Student,Management Team,adminPass,Management Team
adminPass,,Student,Management Team
hi!,hi!,,Management Team
,,,Management Team
Student,Management Team,adminPass,Management Team
,,,Management Team
,,Management Team,Management Team
,,,Management Team
Student,Management Team,adminPass,Management Team
Student,Management Team,Management Team,Management Team
Visitor,Visitor,hi!,Management Team
Management Team,Visitor,Visitor,Management Team
adminPass,Management Team,SuperManager,Management Team
adminPass,SuperManager,adminPass,Management Team
,,,Management Team
Student,Management Team,Management Team,Management Team
SuperManager,hi!,Management Team,Management Team
hi!,hi!,adminPass,Management Team
hi!,hi!,,Management Team
Student,hi!,,Management Team
hi!,hi!,adminPass,Management Team
Student,adminPass,Visitor,Management Team
hi!,hi!,adminPass,Management Team
adminPass,Student,,Management Team
hi!,hi!,adminPass,Management Team
,,,Management Team
Student,Management Team,Management Team,Management Team
adminPass,SuperManager,,Management Team
adminPass,SuperManager,adminPass,Management Team
adminPass,SuperManager,adminPass,Management Team
adminPass,SuperManager,adminPass,Management Team
hi!,hi!,adminPass,Management Team
hi!,hi!,adminPass,Management Team
adminPass,SuperManager,adminPass,Management Team
hi!,hi!,,Management Team
,hi!,Student,Management Team
hi!,hi!,,Management Team
,hi!,Student,Management Team
SuperManager,adminPass,adminPass,Management Team
hi!,hi!,adminPass,Management Team
,,,Management Team
Student,Management Team,Management Team,Management Team
adminPass,SuperManager,,Management Team
hi!,hi!,,Management Team
Student,hi!,,Management Team
adminPass,SuperManager,adminPass,Management Team
adminPass,SuperManager,adminPass,Management Team
adminPass,SuperManager,adminPass,Management Team
SuperManager,adminPass,adminPass,Management Team
Management Team,Visitor,Visitor,Management Team
hi!,hi!,adminPass,Management Team
adminPass,Student,,Management Team
,,,Management Team
adminPass,SuperManager,adminPass,Management Team
SuperManager,hi!,,Management Team
hi!,hi!,adminPass,Management Team
adminPass,Student,,Management Team
,,,Management Team
Student,Management Team,Management Team,Management Team
adminPass,Management Team,Management Team,Management Team
hi!,hi!,,Management Team
Student,hi!,,Management Team
hi!,hi!,,Management Team
,hi!,Student,Management Team
adminPass,hi!,,Management Team
hi!,hi!,,Management Team
,,,Management Team
Student,Management Team,Management Team,Management Team
Management Team,,Visitor,Management Team
Management Team,,Visitor,Management Team
adminPass,SuperManager,adminPass,Management Team
Visitor,hi!,hi!,Management Team
adminPass,SuperManager,adminPass,Management Team
Student,SuperManager,Student,Management Team
Management Team,,Visitor,Management Team
hi!,hi!,adminPass,Management Team
hi!,Visitor,Student,Management Team
hi!,hi!,,Management Team
,hi!,Student,Management Team
hi!,hi!,adminPass,Management Team
,,,Management Team
adminPass,hi!,,Management Team
Management Team,Student,Student,Management Team
adminPass,SuperManager,adminPass,Management Team
hi!,hi!,adminPass,Management Team
adminPass,Student,,Management Team
Student,SuperManager,adminPass,Management Team
,,,Management Team
Student,Management Team,Management Team,Management Team
hi!,hi!,,Management Team
,hi!,Student,Management Team
Management Team,Visitor,Visitor,Management Team
hi!,hi!,adminPass,Management Team
adminPass,Student,,Management Team
hi!,hi!,,Management Team
Student,hi!,,Management Team
,,,Management Team
Student,Management Team,adminPass,Management Team
hi!,hi!,adminPass,Management Team
Management Team,,Visitor,Management Team
,,,Management Team
Student,Management Team,adminPass,Management Team
hi!,hi!,adminPass,Management Team
Management Team,Visitor,Visitor,Management Team
Student,adminPass,Student,Management Team
,,,Management Team
Student,Management Team,Management Team,Management Team
Faculty,SuperManager,hi!,Management Team
,,,Management Team
hi!,hi!,adminPass,Management Team
Student,SuperManager,Student,Management Team
,,,Management Team
Student,Management Team,adminPass,Management Team
Student,Management Team,Visitor,Management Team
hi!,hi!,,Management Team
,hi!,Student,Management Team
hi!,hi!,adminPass,Management Team
hi!,hi!,,Management Team
Student,hi!,,Management Team
hi!,hi!,,Management Team
Student,hi!,,Management Team
Faculty,Faculty,,Management Team
,,,Management Team
Student,Management Team,adminPass,Management Team
Student,,Visitor,Management Team
hi!,Student,,Management Team
SuperManager,Visitor,adminPass,Management Team
hi!,hi!,adminPass,Management Team
SuperManager,hi!,Visitor,Management Team
Student,Management Team,Management Team,Management Team
,,,Management Team
Student,Management Team,Management Team,Management Team
adminPass,SuperManager,adminPass,Management Team
,,,Management Team
adminPass,SuperManager,adminPass,Management Team
adminPass,,adminPass,Management Team
SuperManager,adminPass,adminPass,Management Team
adminPass,hi!,hi!,Management Team
adminPass,Management Team,adminPass,Management Team
Student,Management Team,Management Team,Management Team
Visitor,SuperManager,Faculty,Management Team
hi!,Management Team,,Management Team
,,,Management Team
Student,Management Team,adminPass,Management Team
,Management Team,SuperManager,Management Team
hi!,hi!,,Management Team
Student,hi!,,Management Team
,,,Management Team
Student,Management Team,Management Team,Management Team
,,,Management Team
Student,Management Team,adminPass,Management Team
adminPass,SuperManager,adminPass,Management Team
hi!,,hi!,Management Team
adminPass,SuperManager,adminPass,Management Team
adminPass,SuperManager,adminPass,Management Team
Student,SuperManager,Student,Management Team
SuperManager,adminPass,hi!,Management Team
hi!,hi!,,Management Team
,hi!,Student,Management Team
Visitor,hi!,hi!,Management Team
adminPass,adminPass,Visitor,Management Team
hi!,hi!,adminPass,Management Team
adminPass,Student,,Management Team
Student,Management Team,Management Team,Management Team
