email,username,password,userType
Mon lee,null,apples@gmail.com,applefsjio89
Lilian12@hotmail.com,Lilyana,minney23,Management Team
Beruite23@gmail.com,Beru,lebanon34,Management Team
CruellaD@hotmail.com,DevilleCruella,FurCoatsLover43,Management Team
Lilian12@hotmail.com,Lilyana,minney23,Management Team
Beruite23@gmail.com,Beru,lebanon34,Management Team
CruellaD@hotmail.com,DevilleCruella,FurCoatsLover43,Management Team
Lilian12@hotmail.com,Lilyana,minney23,Management Team
Beruite23@gmail.com,Beru,lebanon34,Management Team
CruellaD@hotmail.com,DevilleCruella,FurCoatsLover43,Management Team
Lilian12@hotmail.com,Lilyana,minney23,Management Team
Beruite23@gmail.com,Beru,lebanon34,Management Team
CruellaD@hotmail.com,DevilleCruella,FurCoatsLover43,Management Team
